absolute time,reward,time,,
1596257626.859,353.000,14.030,,
1596257626.874,354.000,14.044,,
1596257626.884,355.000,14.055,,
1596257626.894,356.000,14.065,,
1596257626.949,357.000,14.119,,
1596257626.963,358.000,14.133,,
1596257626.973,359.000,14.144,,
1596257626.997,360.000,14.168,,
1596257627.027,361.000,14.197,,
1596257627.049,362.000,14.220,,
1596257627.119,363.000,14.290,,
1596257627.138,364.000,14.309,,
1596257627.153,365.000,14.323,,
1596257627.163,366.000,14.333,,
1596257627.209,367.000,14.380,,
1596257627.224,368.000,14.394,,
1596257627.238,369.000,14.409,,
1596257627.274,370.000,14.445,,
1596257627.302,371.000,14.473,,
1596257627.377,372.000,14.548,,
1596257627.403,373.000,14.574,,
1596257627.414,374.000,14.585,,
1596257627.430,375.000,14.601,,
1596257627.457,375.000,14.628,,
1596257627.482,375.000,14.653,,
1596257627.499,375.000,14.669,,
1596257627.534,375.000,14.704,,
1596257627.554,375.000,14.724,,
1596257627.591,375.000,14.762,,
1596257627.606,376.000,14.776,,
1596257627.630,376.000,14.800,,
1596257627.681,376.000,14.852,,
1596257627.698,376.000,14.869,,
1596257627.712,376.000,14.883,,
1596257627.758,376.000,14.928,,
1596257627.775,377.000,14.945,,
1596257627.790,377.000,14.961,,
1596257627.804,377.000,14.975,,
1596257627.817,377.000,14.988,,
1596257627.841,377.000,15.011,,
1596257627.855,378.000,15.026,,
1596257627.867,379.000,15.038,,
1596257627.889,379.000,15.060,,
1596257627.902,379.000,15.072,,
1596257627.912,379.000,15.083,,
1596257627.924,379.000,15.095,,
1596257627.939,379.000,15.110,,
1596257627.953,379.000,15.124,,
1596257627.964,379.000,15.135,,
1596257627.978,380.000,15.149,,
1596257628.000,380.000,15.170,,
1596257628.016,380.000,15.187,,
1596257628.030,380.000,15.201,,
1596257628.048,380.000,15.219,,
1596257628.072,381.000,15.242,,
1596257628.084,381.000,15.254,,
1596257628.096,381.000,15.266,,
1596257628.120,381.000,15.291,,
1596257628.143,382.000,15.314,,
1596257628.161,383.000,15.332,,
1596257628.175,384.000,15.346,,
1596257628.196,385.000,15.367,,
1596257628.243,386.000,15.414,,
1596257628.266,387.000,15.437,,
1596257628.283,387.000,15.454,,
