eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1091.25,1950.87,1324,0.0010569782,0.05786133,3.019086,-0.0025400843,20.548975,0.8707401305437088,2005,256640,4690.4310562,6159360
1090.64,1943.89,1365,0.0018563077,0.13216145,3.0202172,-0.0027037854,21.380451,0.8492507040500641,2006,256768,4692.6809241,6162432
1111.9,1899.44,1376,0.0014295797,0.086100265,2.9959443,-0.0006532283,17.354298,0.8687302768230438,2007,256896,4694.9137038,6165504
1138.96,1912.33,1369,0.0012279939,0.05029297,2.9806125,-0.0014710245,20.75837,0.8641835004091263,2008,257024,4697.1570541,6168576
1125.09,1899.62,1366,0.0012900631,0.07055664,2.9886153,-0.00013600301,16.669037,0.8592441380023956,2009,257152,4699.4057385,6171648
1123.28,1901.29,1355,0.0028400323,0.19637045,2.955903,0.0011856128,21.318907,0.8437845855951309,2010,257280,4701.6727613,6174720
1115.55,1888.82,1364,0.0008980076,0.045817055,2.9778557,-0.0012304423,24.785563,0.7499202191829681,2011,257408,4703.9242373,6177792
1111.2,1900.06,1337,0.000994992,0.041422527,3.0110254,-0.0016053815,23.0098,0.7908097356557846,2012,257536,4706.2213135,6180864
1097.11,1876.13,1369,0.00061872485,0.028320312,2.9908006,-0.0016102203,18.402914,0.860702708363533,2013,257664,4708.4644064,6183936
1100.76,1868.05,1344,0.0010873871,0.061686195,2.9822812,-0.0028681555,18.279716,0.8616457581520081,2014,257792,4710.7504685,6187008
1077.47,1867.62,1359,0.0020271007,0.116780594,2.9833865,-0.0016591491,13.321784,0.8851731419563293,2015,257920,4713.0104527,6190080
1071.05,1857.41,1359,0.0019896468,0.12687175,2.972844,-0.002316481,21.103125,0.8521134853363037,2016,258048,4715.2711494,6193152
1037.91,1831.24,1357,0.0013207796,0.056803387,2.9713166,-0.0019250676,15.790956,0.9067659750580788,2017,258176,4717.534015,6196224
1028.41,1811.61,1375,0.0018917131,0.11572265,2.9554818,-0.0009568251,21.269081,0.8763708472251892,2018,258304,4719.7672604,6199296
1028.52,1810.69,1290,0.00088234205,0.038411457,2.957582,-0.0011785455,21.498526,0.8710233122110367,2019,258432,4722.1486743,6202368
1041.13,1842.25,1280,0.0006514895,0.0146484375,2.947051,-0.0019109627,17.618422,0.9100619405508041,2020,258560,4724.5475096,6205440
1031.73,1823.72,1371,0.0007699805,0.033528645,2.9513996,-0.00058124773,22.48724,0.8862576931715012,2021,258688,4726.7887492,6208512
1024.24,1828.8,1280,0.0020923077,0.13517252,2.9260244,-0.0026637036,17.095047,0.9132423922419548,2022,258816,4729.1877466,6211584
1037.52,1827.06,1304,0.003534149,0.24259438,2.9363527,0.0024553523,24.541111,0.8605718165636063,2023,258944,4731.5433931,6214656
1033.43,1843.79,1246,0.002389944,0.14933269,2.9404006,-0.0012520197,27.026335,0.8333161771297455,2024,259072,4734.0075773,6217728
1082.01,1874.93,1279,0.0010814883,0.05582682,2.9269876,-0.00033392975,17.320072,0.8802337497472763,2025,259200,4736.4095853,6220800
1081.81,1878.99,1279,0.0018774342,0.1101888,2.974336,0.00026172618,21.354763,0.8261065632104874,2026,259328,4738.8115346,6223872
1060.28,1882.02,1296,0.0021796343,0.14298503,2.9430735,-0.0022638654,22.34306,0.8516013771295547,2027,259456,4741.1822907,6226944
1051.54,1851.62,1342,0.0004325045,0.004557292,2.953954,-0.00075837824,24.174887,0.8341454714536667,2028,259584,4743.4713383,6230016
1058.96,1844.04,1283,0.0006291786,0.02351888,2.94953,-0.001497766,20.045143,0.8621614873409271,2029,259712,4745.8644153,6233088
1057.18,1828.43,1273,0.001167953,0.078938805,2.933651,-0.0022921625,15.905917,0.8749602288007736,2030,259840,4748.2766357,6236160
1050.77,1805.47,1319,0.00068548566,0.01977539,2.9308023,-0.0008709432,23.265575,0.86666339635849,2031,259968,4750.6062012,6239232
1058.89,1813.25,1268,0.0013383548,0.078694664,2.9387763,-0.0015876826,23.605724,0.8455576747655869,2032,260096,4753.0288065,6242304
1050.78,1792.69,1300,0.0009796789,0.038818356,2.9478145,-0.0007547021,19.192589,0.8318432420492172,2033,260224,4755.391753,6245376
1006.24,1802.06,1274,0.0012373407,0.068278,2.9808433,-0.0014949928,18.460579,0.8895792216062546,2034,260352,4757.8026311,6248448
1007.54,1798.42,1328,0.0018414861,0.12727864,2.9741561,-0.0021850276,15.196496,0.8787751123309135,2035,260480,4760.1158867,6251520
981.99,1789.1,1252,0.0010498314,0.05069987,2.9554558,-0.0018178509,13.837716,0.8896874487400055,2036,260608,4762.5699109,6254592
